,Horsepower,Curb Weight,City MPG,Highway MPG,Combined MPG,Fuel Capacity,Drivetrain,Recommended Fuel,Car Model,Year,Model Full Name
0,190 @ 7000 RPM,3327 lbs.,21 mpg,31 mpg,25 mpg,18.5 gallons,FWD,Regular,honda/accord,2010,Honda Accord
1,177 @ 6500 RPM,3279 lbs.,23 mpg,34 mpg,27 mpg,18.5 gallons,FWD,Regular,honda/accord,2012,Honda Accord
2,185 @ 6200 RPM,3298 lbs.,27 mpg,36 mpg,30 mpg,17.2 gallons,FWD,Regular,honda/accord,2013,Honda Accord
3,185 @ 6400 RPM,3252 lbs.,26 mpg,34 mpg,29 mpg,17.2 gallons,FWD,Regular,honda/accord,2014,Honda Accord
4,185 @ 6400 RPM,3252 lbs.,26 mpg,35 mpg,29 mpg,17.2 gallons,FWD,Regular,honda/accord,2015,Honda Accord
5,185 @ 6400 RPM,3248 lbs.,26 mpg,35 mpg,30 mpg,17.2 gallons,FWD,Regular,honda/accord,2016,Honda Accord
6,185 @ 6400 RPM,3239 lbs.,27 mpg,36 mpg,30 mpg,17.2 gallons,FWD,Regular,honda/accord,2017,Honda Accord
7,192 @ 5500 RPM,3131 lbs.,30 mpg,38 mpg,33 mpg,14.8 gallons,FWD,Regular,honda/accord,2018,Honda Accord
8,192 @ 5500 RPM,3131 lbs.,30 mpg,38 mpg,33 mpg,14.8 gallons,FWD,Regular,honda/accord,2019,Honda Accord
9,192 @ 5500 RPM,3131 lbs.,30 mpg,38 mpg,33 mpg,14.8 gallons,FWD,Regular,honda/accord,2020,Honda Accord
10,192 @ 5500 RPM,3150 lbs.,30 mpg,38 mpg,33 mpg,14.8 gallons,FWD,Regular,honda/accord,2021,Honda Accord
11,192 @ 5500 RPM,3150 lbs.,30 mpg,38 mpg,33 mpg,14.8 gallons,FWD,Regular,honda/accord,2022,Honda Accord
12,192 @ 6000 RPM,3239 lbs.,29 mpg,37 mpg,32 mpg,14.8 gallons,FWD,Regular,honda/accord,2023,Honda Accord
13,192 @ 6000 RPM,3239 lbs.,29 mpg,37 mpg,32 mpg,14.8 gallons,FWD,Regular,honda/accord,2024,Honda Accord
14,175 @ 6000 RPM,3327 lbs.,22 mpg,32 mpg,25 mpg,17.7 gallons,FWD,Regular,hyundai/sonata,2010,Hyundai Sonata
15,,,34 mpg,39 mpg,36 mpg,17.2 gallons,FWD,Regular,hyundai/sonata,2011,Hyundai Sonata
16,,3457 lbs.,34 mpg,39 mpg,36 mpg,17.2 gallons,FWD,Regular,hyundai/sonata,2012,Hyundai Sonata
17,200 @ 6300 RPM,3316 lbs.,24 mpg,35 mpg,28 mpg,18.5 gallons,FWD,Regular,hyundai/sonata,2013,Hyundai Sonata
18,,,36 mpg,40 mpg,38 mpg,17.2 gallons,FWD,Regular,hyundai/sonata,2014,Hyundai Sonata
19,177 @ 5500 RPM,,28 mpg,38 mpg,32 mpg,18.5 gallons,FWD,Regular,hyundai/sonata,2015,Hyundai Sonata
20,178 @ 5500 RPM,3219 lbs.,28 mpg,38 mpg,32 mpg,18.5 gallons,FWD,Regular,hyundai/sonata,2016,Hyundai Sonata
21,185 @ 6000 RPM,3250 lbs.,25 mpg,36 mpg,29 mpg,18.5 gallons,FWD,Regular,hyundai/sonata,2017,Hyundai Sonata
22,185 @ 6000 RPM,3303 lbs.,25 mpg,35 mpg,28 mpg,18.5 gallons,FWD,Regular,hyundai/sonata,2018,Hyundai Sonata
23,185 @ 6000 RPM,3247 lbs.,26 mpg,35 mpg,29 mpg,18.5 gallons,FWD,Regular,hyundai/sonata,2019,Hyundai Sonata
24,191 @ 6100 RPM,3120 lbs.,28 mpg,38 mpg,32 mpg,18.5 gallons,FWD,Regular,hyundai/sonata,2020,Hyundai Sonata
25,191 @ 6100 RPM,3120 lbs.,28 mpg,38 mpg,32 mpg,14.8 gallons,FWD,Regular,hyundai/sonata,2021,Hyundai Sonata
